design_name,predicted_final_qor,true_final_qor,mape,true_qor_step_1,pred_qor_step_1,true_qor_step_2,pred_qor_step_2,true_qor_step_3,pred_qor_step_3,true_qor_step_4,pred_qor_step_4,true_qor_step_5,pred_qor_step_5,true_qor_step_6,pred_qor_step_6,true_qor_step_7,pred_qor_step_7,true_qor_step_8,pred_qor_step_8,true_qor_step_9,pred_qor_step_9,true_qor_step_10,pred_qor_step_10,true_qor_step_11,pred_qor_step_11,true_qor_step_12,pred_qor_step_12,true_qor_step_13,pred_qor_step_13,true_qor_step_14,pred_qor_step_14,true_qor_step_15,pred_qor_step_15,true_qor_step_16,pred_qor_step_16,true_qor_step_17,pred_qor_step_17,true_qor_step_18,pred_qor_step_18
aes_secworks_orig.bench,31.572712,33.0,4.32511530816555,38.0,37.159454,35.0,33.732563,35.0,34.4617,35.0,34.0002,35.0,33.211597,35.0,33.807167,35.0,33.548077,35.0,33.399384,35.0,33.553154,35.0,33.51652,35.0,33.06626,35.0,32.991608,35.0,33.09178,35.0,33.724945,35.0,33.91313,35.0,33.27369,43.0,42.539726,33.0,31.572712
aes_secworks_orig.bench,35.59363,43.0,17.224112153053284,38.0,37.159454,35.0,33.732563,35.0,34.4617,35.0,33.70247,35.0,32.95218,35.0,33.740707,35.0,33.368904,35.0,33.47582,35.0,33.421963,35.0,33.38144,35.0,33.098904,35.0,33.002457,35.0,33.052452,35.0,33.592064,35.0,33.849197,35.0,33.25078,43.0,42.487045,43.0,35.59363
tv80_orig.bench,50.18379,52.0,3.492714837193489,53.0,51.09906,53.0,51.344486,53.0,51.289085,52.0,51.121544,52.0,50.80799,52.0,50.741913,52.0,50.603798,52.0,50.730976,52.0,50.514366,52.0,50.76246,52.0,50.324074,52.0,50.465866,52.0,50.323776,52.0,50.382195,52.0,50.72529,52.0,50.337917,52.0,50.418633,52.0,50.18379
tv80_orig.bench,48.240532,51.0,5.4107218980789185,53.0,51.09906,53.0,51.344486,53.0,51.28908,52.0,51.121544,52.0,50.639687,52.0,50.664238,52.0,50.427635,52.0,50.49864,52.0,50.533463,52.0,50.63116,52.0,50.302895,52.0,50.42215,52.0,50.372967,52.0,50.46106,52.0,50.69689,52.0,50.32867,52.0,50.36354,51.0,48.240532
tv80_orig.bench,48.267815,49.0,1.4942558482289314,53.0,51.09906,53.0,51.34449,53.0,51.28908,52.0,51.121544,52.0,50.822403,52.0,50.622864,52.0,50.402084,52.0,50.702057,52.0,50.535027,52.0,50.643974,52.0,50.351532,52.0,50.495087,52.0,50.459778,52.0,50.45288,52.0,50.74417,52.0,50.62997,52.0,50.531925,49.0,48.267815
max_orig.bench,164.89313,171.0,3.5712704062461853,287.0,290.487,234.0,229.23572,234.0,228.6105,234.0,228.79933,234.0,227.55858,234.0,229.48717,234.0,227.00407,202.0,197.58234,202.0,197.4824,202.0,196.83124,295.0,296.144,199.0,194.77695,199.0,195.87535,199.0,194.07916,184.0,185.4427,184.0,185.00162,184.0,185.4101,171.0,164.89313
tv80_orig.bench,47.94619,50.0,4.107620194554329,53.0,51.782917,53.0,51.825382,53.0,51.662415,52.0,51.648144,52.0,51.714897,52.0,51.37749,52.0,51.293716,52.0,51.62115,52.0,51.822014,52.0,51.725746,52.0,51.555195,52.0,51.13694,52.0,51.22083,52.0,51.580803,52.0,51.25849,52.0,50.88941,52.0,51.204826,50.0,47.94619
aes_secworks_orig.bench,31.574417,33.0,4.319947957992554,41.0,37.741352,38.0,36.36452,38.0,35.72661,35.0,33.764034,35.0,33.42236,35.0,33.124577,35.0,33.995094,35.0,33.735527,35.0,33.265213,35.0,33.474266,35.0,33.75735,35.0,33.210564,35.0,33.211132,35.0,33.45828,35.0,33.52649,33.0,32.28495,41.0,41.08912,33.0,31.574417
max_orig.bench,168.50032,174.0,3.1607352197170258,287.0,289.22708,234.0,230.05174,234.0,228.43881,234.0,226.7289,234.0,228.43558,234.0,227.99095,234.0,226.15475,202.0,195.86427,202.0,196.20807,202.0,195.30829,292.0,296.03787,202.0,194.57724,202.0,194.44719,202.0,192.9686,190.0,187.93344,190.0,186.9004,187.0,183.57562,174.0,168.50032
tv80_orig.bench,55.11105,53.0,3.9831124246120453,53.0,52.486443,53.0,51.736904,53.0,51.884586,53.0,51.66048,53.0,51.721596,53.0,51.765358,53.0,51.959908,53.0,52.7893,53.0,52.800186,53.0,52.12847,63.0,62.316326,63.0,62.01729,63.0,62.269157,61.0,61.256104,61.0,61.91725,61.0,62.207123,61.0,62.460423,53.0,55.11105
tv80_orig.bench,48.2461,50.0,3.507797420024872,53.0,51.382915,53.0,52.323555,53.0,51.869167,52.0,51.76542,52.0,51.878128,52.0,51.65521,52.0,51.751244,52.0,51.522858,52.0,51.876465,52.0,51.750195,52.0,51.36621,52.0,50.96445,52.0,51.18193,52.0,51.53221,52.0,51.41312,52.0,51.192745,52.0,51.51888,50.0,48.2461
aes_secworks_orig.bench,31.121464,33.0,5.692534148693085,41.0,37.741352,38.0,36.461357,38.0,35.20587,35.0,33.424072,35.0,34.166283,35.0,33.611694,35.0,33.521835,35.0,33.672462,35.0,33.299675,35.0,33.512165,35.0,32.496304,35.0,32.681267,35.0,32.90245,35.0,33.299408,35.0,33.333168,33.0,31.667446,41.0,41.50129,33.0,31.121464
tv80_orig.bench,55.554096,55.0,1.0074476711452007,53.0,52.919945,53.0,52.62816,53.0,52.45847,53.0,52.056072,53.0,52.187374,53.0,51.99394,54.0,52.80638,54.0,53.45024,54.0,53.246857,54.0,52.014267,62.0,62.93203,62.0,62.38815,62.0,62.372017,62.0,61.979115,62.0,63.27554,62.0,61.989616,64.0,65.37039,55.0,55.554096
aes_secworks_orig.bench,31.530338,35.0,9.91331934928894,38.0,36.51134,35.0,33.81618,35.0,34.962505,35.0,33.61449,35.0,33.93914,35.0,33.01493,35.0,33.84685,35.0,33.671326,35.0,34.089703,35.0,33.50884,35.0,33.643684,35.0,33.95076,35.0,33.458168,35.0,33.636757,35.0,33.86278,35.0,33.04548,43.0,42.127968,35.0,31.530338
tv80_orig.bench,50.80278,51.0,0.3867055755108595,53.0,52.486443,53.0,51.7369,53.0,52.185745,53.0,51.752495,53.0,51.912514,53.0,51.528275,53.0,51.7904,53.0,51.539524,53.0,51.87909,53.0,51.741463,53.0,51.428505,53.0,51.478477,53.0,51.290497,53.0,52.14438,55.0,54.726368,55.0,53.62529,55.0,53.483482,51.0,50.80278
max_orig.bench,179.2255,185.0,3.121354430913925,287.0,294.69836,287.0,292.6503,287.0,292.50858,287.0,289.9121,243.0,231.42143,243.0,229.91347,222.0,226.16402,204.0,201.44434,204.0,200.32997,204.0,200.6384,204.0,197.99127,200.0,195.45715,200.0,195.02159,200.0,193.40736,194.0,190.0583,194.0,189.74341,194.0,189.31091,185.0,179.2255
tv80_orig.bench,48.322254,50.0,3.3554915338754654,53.0,51.09906,53.0,51.34449,53.0,51.28908,53.0,51.23037,53.0,51.271492,53.0,51.1916,53.0,50.916092,53.0,50.810493,53.0,50.591618,53.0,51.168373,53.0,50.37095,53.0,50.52799,53.0,50.45671,53.0,50.606987,53.0,50.889748,53.0,50.52781,53.0,50.683502,50.0,48.322254
tv80_orig.bench,47.845085,52.0,7.990220934152603,53.0,51.09906,53.0,51.34449,53.0,51.417023,53.0,51.10478,53.0,50.7649,53.0,50.707806,53.0,50.534447,53.0,50.71331,53.0,50.37332,53.0,50.736774,53.0,50.277115,53.0,50.430748,53.0,50.24605,53.0,50.279274,53.0,50.654892,53.0,50.25519,53.0,50.37716,52.0,47.845085
aes_secworks_orig.bench,31.455696,33.0,4.679708927869797,38.0,37.159454,35.0,33.732563,35.0,33.552055,35.0,33.68119,35.0,33.04143,35.0,33.775352,35.0,33.735123,35.0,33.673393,35.0,33.47102,35.0,33.064037,35.0,33.096283,35.0,33.14806,35.0,33.117584,35.0,33.730534,35.0,34.00693,35.0,33.228783,43.0,42.46814,33.0,31.455696
aes_secworks_orig.bench,31.393375,33.0,4.868559539318085,38.0,36.51134,35.0,33.81618,35.0,34.845966,35.0,33.725105,35.0,33.07439,35.0,33.02849,35.0,33.882484,35.0,33.16701,35.0,33.94924,35.0,33.420967,35.0,33.383217,35.0,33.583035,35.0,33.58776,35.0,33.16079,35.0,33.486137,35.0,33.245617,43.0,42.16884,33.0,31.393375
max_orig.bench,160.82245,161.0,0.11028029257431626,287.0,291.39456,234.0,229.53314,234.0,227.19406,234.0,227.71877,227.0,223.39767,227.0,224.72287,227.0,223.98927,194.0,193.73611,194.0,193.76804,194.0,193.09818,194.0,192.14314,185.0,184.34102,185.0,184.80951,185.0,183.06242,177.0,177.97903,177.0,178.1066,177.0,176.23499,161.0,160.82245
max_orig.bench,160.24268,161.0,0.4703877028077841,287.0,292.1749,234.0,230.02393,234.0,228.92717,234.0,229.3187,227.0,223.70404,227.0,226.21165,227.0,224.06676,194.0,192.35587,194.0,192.97379,194.0,191.66626,194.0,191.65097,185.0,183.08652,185.0,183.35817,185.0,181.51367,177.0,177.01169,177.0,177.08737,177.0,174.66837,161.0,160.24268
aes_secworks_orig.bench,31.523937,33.0,4.472917318344116,38.0,37.159454,35.0,33.732563,35.0,34.4617,35.0,33.70247,35.0,32.95218,35.0,33.740707,35.0,33.368904,35.0,33.584484,35.0,33.484257,35.0,33.218002,35.0,33.164818,35.0,33.03978,35.0,33.08813,35.0,33.548985,35.0,33.85311,35.0,33.314564,43.0,42.537773,33.0,31.523937
tv80_orig.bench,49.355186,50.0,1.2896270491182804,53.0,52.486443,53.0,51.61046,53.0,51.700417,53.0,51.317722,53.0,51.51965,53.0,51.225616,53.0,51.56492,53.0,51.041283,53.0,51.450703,53.0,51.499763,53.0,50.936745,53.0,50.917328,53.0,50.9101,53.0,51.403877,53.0,51.39982,53.0,50.630028,53.0,51.041195,50.0,49.355186
aes_secworks_orig.bench,31.465496,35.0,10.09858250617981,41.0,37.741352,38.0,37.48193,35.0,33.768578,35.0,33.915333,35.0,34.138634,35.0,33.500008,35.0,33.68138,35.0,33.90747,35.0,34.32122,35.0,33.95748,35.0,34.035732,35.0,33.875458,35.0,33.521767,35.0,33.209614,35.0,33.308456,35.0,32.88698,45.0,41.837524,35.0,31.465496
max_orig.bench,190.21942,196.0,2.949274890124798,287.0,293.81958,287.0,293.03537,287.0,292.75217,287.0,293.7197,287.0,292.4927,287.0,291.00256,287.0,292.82513,287.0,291.18124,287.0,290.61057,287.0,292.34482,306.0,309.3392,208.0,206.38272,208.0,206.8104,208.0,204.80344,202.0,200.45963,202.0,201.0781,202.0,199.38824,196.0,190.21942
tv80_orig.bench,48.17583,50.0,3.6483384668827057,53.0,51.09906,53.0,51.34449,53.0,51.28908,52.0,51.121544,52.0,50.822403,52.0,50.622868,52.0,50.433212,52.0,50.73494,52.0,50.47505,52.0,50.615387,52.0,50.329227,52.0,50.431717,52.0,50.467735,52.0,50.49881,52.0,50.691406,52.0,50.410408,52.0,50.328766,50.0,48.17583
max_orig.bench,187.3629,186.0,0.7327418308705091,287.0,294.6984,287.0,293.40973,287.0,294.19724,287.0,292.225,287.0,293.91815,287.0,293.10086,287.0,292.65964,287.0,292.43628,287.0,292.80563,287.0,293.43356,306.0,308.86142,208.0,206.7413,208.0,206.35768,208.0,203.96396,201.0,200.27754,201.0,199.60068,201.0,200.38986,186.0,187.3629
aes_secworks_orig.bench,31.311127,33.0,5.1177978515625,38.0,37.159454,35.0,33.732563,35.0,33.552055,35.0,34.329414,35.0,33.0708,35.0,33.911243,35.0,33.67599,35.0,33.852627,35.0,33.34519,35.0,33.40004,35.0,32.96103,35.0,33.273117,35.0,33.4423,35.0,33.247772,35.0,33.467606,35.0,32.871506,43.0,42.401604,33.0,31.311127
aes_secworks_orig.bench,31.696304,35.0,9.439130872488022,38.0,37.265015,37.0,35.942154,35.0,33.810604,35.0,33.91307,35.0,34.25711,35.0,33.77034,35.0,34.154922,35.0,34.141453,35.0,33.998703,35.0,33.91529,35.0,33.618767,35.0,34.170937,35.0,33.97015,35.0,33.73849,35.0,33.911552,35.0,33.78497,45.0,42.556046,35.0,31.696304
tv80_orig.bench,53.161514,57.0,6.734185665845871,53.0,52.919945,53.0,52.62816,53.0,52.45847,53.0,52.056076,53.0,52.187374,53.0,51.993942,53.0,51.78237,53.0,51.91253,53.0,51.888874,53.0,51.195873,66.0,61.96545,66.0,60.954254,66.0,60.06524,66.0,59.1856,64.0,60.81688,64.0,59.178635,66.0,64.2439,57.0,53.161514
tv80_orig.bench,47.992607,50.0,4.014785587787628,53.0,51.09906,53.0,51.34449,53.0,51.28908,52.0,51.121544,52.0,50.822403,52.0,50.622864,52.0,50.31832,52.0,50.604454,52.0,50.369835,52.0,50.439713,52.0,50.263588,52.0,50.226658,52.0,50.230896,52.0,50.382645,52.0,50.52382,52.0,50.551903,52.0,50.464584,50.0,47.992607
aes_secworks_orig.bench,31.387487,33.0,4.886401817202568,41.0,37.77684,39.0,36.235752,39.0,36.754456,37.0,36.039482,37.0,35.023052,37.0,34.69863,37.0,34.48846,37.0,34.83069,37.0,34.63843,37.0,34.419395,37.0,34.55773,36.0,33.23873,36.0,34.753628,36.0,34.702824,40.0,39.086674,40.0,38.647213,46.0,44.20079,33.0,31.387487
max_orig.bench,188.3529,186.0,1.2650028802454472,287.0,293.81958,287.0,293.03537,287.0,293.75974,287.0,295.3383,287.0,293.91763,287.0,292.9651,287.0,293.2388,287.0,293.28397,287.0,293.51273,287.0,293.6695,306.0,309.3859,208.0,206.77107,208.0,206.41751,208.0,205.43645,201.0,200.03604,201.0,199.47168,201.0,197.96115,186.0,188.3529
tv80_orig.bench,48.352333,50.0,3.295333683490753,53.0,51.09906,53.0,51.34449,53.0,51.28908,52.0,51.121544,52.0,50.639687,52.0,50.919014,52.0,50.558064,52.0,50.699776,52.0,50.631866,52.0,50.781124,52.0,50.274864,52.0,50.452152,52.0,50.317093,52.0,50.428925,52.0,50.659874,52.0,50.347927,52.0,50.404716,50.0,48.352333
tv80_orig.bench,48.023697,50.0,3.9526060223579407,53.0,51.09906,53.0,51.344486,53.0,51.29644,52.0,51.075287,52.0,51.28232,52.0,50.614006,52.0,50.211525,52.0,50.62336,52.0,50.639854,52.0,50.328285,52.0,50.20054,52.0,50.156815,52.0,50.238953,52.0,50.37845,52.0,50.29863,52.0,50.017563,52.0,50.193924,50.0,48.023697
aes_secworks_orig.bench,31.275978,33.0,5.224308744072914,38.0,37.065315,37.0,36.232098,35.0,33.3845,35.0,33.61988,35.0,34.025284,35.0,33.910805,35.0,33.258972,35.0,34.262337,35.0,33.286095,35.0,32.865883,35.0,33.376408,35.0,32.275696,35.0,33.110275,35.0,33.46659,35.0,33.692406,35.0,33.437973,43.0,42.30532,33.0,31.275978
max_orig.bench,158.40019,165.0,3.999883309006691,234.0,227.53616,234.0,225.4514,234.0,226.19577,234.0,226.64392,227.0,221.61397,227.0,223.21144,221.0,219.00745,192.0,187.79172,192.0,188.43918,192.0,187.5578,192.0,187.4682,182.0,177.53772,182.0,178.39467,182.0,176.75684,173.0,172.10559,173.0,173.00836,173.0,171.78574,165.0,158.40019
aes_secworks_orig.bench,31.611446,35.0,9.68158170580864,38.0,37.159454,35.0,33.732563,35.0,34.4617,35.0,34.0002,35.0,33.211597,35.0,33.807167,35.0,34.491753,35.0,34.259354,35.0,34.760715,35.0,34.546158,35.0,33.062683,35.0,32.935043,35.0,33.54522,35.0,33.71677,35.0,33.882423,35.0,33.27003,44.0,42.14298,35.0,31.611446
max_orig.bench,161.55801,161.0,0.34659248776733875,287.0,291.39456,234.0,229.53314,234.0,227.19406,234.0,227.71878,227.0,223.3977,227.0,224.72285,227.0,223.13936,194.0,193.71729,194.0,193.6564,194.0,193.12256,194.0,192.04758,185.0,184.91138,185.0,185.18604,185.0,183.43378,177.0,177.919,177.0,178.331,177.0,175.56839,161.0,161.55801
max_orig.bench,162.44217,166.0,2.143271639943123,287.0,289.536,234.0,230.507,234.0,229.79121,234.0,230.02917,234.0,226.49675,234.0,228.51523,234.0,226.75763,201.0,192.71112,201.0,193.6659,201.0,192.81845,293.0,294.94632,187.0,186.47438,187.0,186.59982,187.0,185.41585,179.0,179.33353,179.0,180.11058,179.0,180.0851,166.0,162.44217
tv80_orig.bench,47.853683,49.0,2.339421398937702,53.0,51.09906,53.0,51.344486,53.0,51.29644,52.0,51.075287,52.0,50.71173,52.0,50.37101,52.0,50.54345,52.0,50.45539,52.0,50.70945,52.0,50.67079,52.0,50.19036,52.0,50.16534,52.0,50.30898,52.0,50.278152,52.0,50.205704,52.0,49.942863,52.0,49.89537,49.0,47.853683
max_orig.bench,165.12247,170.0,2.86913700401783,287.0,288.88754,234.0,229.27017,234.0,227.70822,234.0,227.34576,227.0,222.6238,227.0,221.57803,227.0,222.78157,227.0,222.6727,227.0,221.9402,227.0,216.93889,227.0,221.65143,192.0,189.4306,192.0,191.46127,192.0,189.53394,185.0,183.46478,185.0,184.13235,185.0,181.96745,170.0,165.12247
tv80_orig.bench,47.931408,49.0,2.180800214409828,53.0,51.09906,53.0,51.34449,53.0,51.29644,52.0,51.075294,52.0,50.549988,52.0,50.353783,52.0,50.17675,52.0,50.42694,52.0,50.431877,52.0,50.32895,52.0,50.15631,52.0,50.156715,52.0,50.257286,52.0,50.411285,52.0,50.501163,52.0,49.884888,52.0,50.34818,49.0,47.931408
aes_secworks_orig.bench,31.73245,33.0,3.8410592824220657,38.0,37.265015,37.0,36.81411,37.0,35.55517,35.0,33.653564,35.0,33.327045,35.0,33.940002,35.0,33.704964,35.0,32.89768,35.0,33.33718,35.0,33.755302,35.0,33.241543,35.0,33.2189,35.0,33.172543,35.0,33.680824,40.0,38.001053,39.0,37.189346,45.0,44.452007,33.0,31.73245
max_orig.bench,176.5254,185.0,4.5808617025613785,287.0,289.22708,287.0,289.26346,287.0,292.17,287.0,291.2687,243.0,231.19232,243.0,231.13742,222.0,225.32027,204.0,201.37576,204.0,200.48918,204.0,200.05806,204.0,198.04758,200.0,195.22324,200.0,195.4874,200.0,193.26245,194.0,188.74368,194.0,188.53438,194.0,187.24786,185.0,176.5254
max_orig.bench,158.70923,171.0,7.187585532665253,234.0,227.53616,234.0,228.53207,234.0,227.37672,234.0,229.67697,227.0,222.69905,227.0,225.64201,221.0,219.65686,192.0,189.0986,192.0,189.81879,192.0,188.94485,192.0,188.95834,182.0,179.0001,182.0,179.52287,182.0,174.40164,178.0,173.0806,178.0,174.67366,178.0,171.99307,171.0,158.70923
max_orig.bench,158.24149,171.0,7.461119443178177,234.0,227.53616,234.0,226.50107,234.0,228.26167,234.0,229.81691,227.0,223.95512,227.0,224.8168,221.0,221.06169,192.0,188.31044,192.0,189.53232,192.0,187.62184,192.0,188.31546,182.0,179.1965,182.0,177.14767,182.0,177.53912,178.0,172.56386,178.0,174.20201,178.0,171.69333,171.0,158.24149
max_orig.bench,194.0874,196.0,0.9758151136338711,287.0,287.52612,287.0,290.3559,287.0,290.56772,287.0,290.08597,287.0,291.1088,287.0,284.8196,217.0,223.24777,217.0,220.10547,217.0,220.88683,217.0,218.70096,292.0,301.96115,208.0,205.24402,208.0,205.25143,208.0,203.27097,202.0,199.33661,202.0,197.95145,202.0,198.19925,196.0,194.0874
max_orig.bench,166.7158,180.0,7.380108535289764,287.0,291.39456,234.0,229.53314,234.0,228.6775,234.0,226.30869,234.0,227.91542,234.0,228.48782,234.0,225.75157,202.0,197.04175,202.0,197.49742,202.0,196.17062,292.0,295.50848,202.0,196.8594,202.0,195.86902,202.0,195.04262,202.0,193.53119,202.0,187.39273,188.0,183.20059,180.0,166.7158
tv80_orig.bench,48.304672,50.0,3.390655666589737,53.0,51.09906,53.0,51.34449,53.0,51.28908,52.0,51.121544,52.0,50.639687,52.0,50.919014,52.0,50.55806,52.0,50.699776,52.0,50.41809,52.0,50.758705,52.0,50.270164,52.0,50.41799,52.0,50.303986,52.0,50.425953,52.0,50.62075,52.0,50.310005,52.0,50.378586,50.0,48.304672
tv80_orig.bench,47.865265,50.0,4.269470274448395,53.0,51.782917,53.0,51.341537,53.0,51.610863,52.0,51.605587,52.0,51.565876,52.0,51.438904,52.0,51.382774,52.0,51.407345,52.0,51.318436,52.0,51.305626,52.0,50.902042,52.0,50.933388,52.0,50.95001,52.0,51.41278,52.0,51.24787,52.0,50.515217,52.0,50.257797,50.0,47.865265
aes_secworks_orig.bench,31.916107,33.0,3.2845236361026764,41.0,37.741352,38.0,36.36452,37.0,35.695145,35.0,33.658493,35.0,33.898224,35.0,34.03763,35.0,34.062668,35.0,33.61511,35.0,33.51852,35.0,33.650604,35.0,33.653603,35.0,34.225143,35.0,33.323025,35.0,33.919247,40.0,38.49176,40.0,37.791206,46.0,44.55433,33.0,31.916107
tv80_orig.bench,47.7231,50.0,4.553802311420441,53.0,51.782917,53.0,51.825382,53.0,51.66242,52.0,51.648148,52.0,51.734486,52.0,51.49751,52.0,51.45469,52.0,51.47928,52.0,51.600082,52.0,51.606018,52.0,51.413143,52.0,51.147446,52.0,51.061356,52.0,51.223595,52.0,51.07955,52.0,50.670227,52.0,50.867294,50.0,47.7231
tv80_orig.bench,48.018112,50.0,3.963775560259819,53.0,51.09906,53.0,51.344486,53.0,51.28908,52.0,51.121544,52.0,50.639687,52.0,50.664238,52.0,50.427635,52.0,50.744835,52.0,50.55796,52.0,50.632576,52.0,50.342705,52.0,50.51416,52.0,50.438194,52.0,50.497208,52.0,50.707268,52.0,50.371635,52.0,50.409325,50.0,48.018112
max_orig.bench,160.33273,171.0,6.238167732954025,287.0,291.44705,234.0,231.0415,234.0,229.74542,234.0,229.51346,227.0,223.6954,227.0,223.19383,227.0,223.67857,194.0,192.1776,194.0,192.44504,194.0,191.56665,194.0,191.18622,194.0,184.47488,194.0,184.25688,194.0,182.51048,184.0,176.84125,184.0,177.29095,184.0,175.27567,171.0,160.33273
max_orig.bench,175.17348,177.0,1.031933818012476,287.0,294.6984,234.0,231.63716,234.0,228.49539,234.0,229.46396,227.0,224.61797,227.0,224.74162,227.0,223.50981,194.0,192.7807,194.0,193.64853,194.0,191.91931,194.0,191.74365,185.0,183.93117,185.0,183.91599,185.0,182.22534,177.0,177.65875,177.0,177.80527,177.0,177.12717,177.0,175.17348
aes_secworks_orig.bench,31.471397,33.0,4.632129147648811,41.0,37.741352,38.0,36.461357,35.0,33.976562,35.0,33.31201,35.0,33.990585,35.0,33.112885,35.0,33.686935,35.0,33.399982,35.0,33.410995,35.0,33.448112,35.0,32.99491,35.0,32.998684,35.0,32.995773,35.0,33.328873,35.0,33.36845,35.0,33.29279,43.0,41.961647,33.0,31.471397
max_orig.bench,189.20743,193.0,1.965063251554966,287.0,291.65994,287.0,293.29587,287.0,293.52585,287.0,291.2855,287.0,292.527,287.0,290.89218,287.0,291.936,287.0,291.1201,287.0,288.96494,287.0,290.83902,306.0,308.76797,208.0,206.5325,208.0,206.02174,208.0,204.75381,201.0,199.67297,201.0,199.28275,201.0,199.4125,193.0,189.20743
